Result Archive URL,Time [UTC],Notes,AMS Database Record,AMS Reported Time,,,,
,2024-07-28 01:52 UT,,,,,,,
,2024-07-28 02:35 UT,,,,,,,
,2024-07-28 02:56 UT,,,,,,,
2024-07-28_03-08-31_15.70_180.00s_0027.tif (dropbox.com),2024-07-28 03:08 UT,"Daniel - It indeed follows the same path, same",Event 3709-2023,2024-07-28 03:02 UT,Partially match,,,
2024-07-28_03-11-33_15.70_180.00s_0028.tif (dropbox.com),2024-07-28 03:11 UT,might be the same meteor as the previous one,Event 3709-2024,2024-07-28 03:02 UT,Partially match,2 AMS Report timess: 2:45 & 3:20 ,,
2024-07-28_04-15-01_15.00_180.00s_0049.tif (dropbox.com),2024-07-28 04:15 UT,,,,,,,
2024-07-28_04-36-11_14.90_180.00s_0056.tif (dropbox.com),2024-07-28 04:36 UT,,,,,,,
2024-07-29_01-33-52_23.40_120.00s_0001.tif (dropbox.com),2024-07-29 01:33 UT,,,,,,,
2024-07-29_03-45-09_19.60_120.00s_0066.tif (dropbox.com),2024-07-29 03:45 UT,Might not be actual meteor,,,,,,
2024-07-29_03-49-12_19.50_120.00s_0068.tif (dropbox.com),2024-07-29 03:49 UT,,,,,,,
2024-07-29_03-53-14_19.40_120.00s_0070.tif (dropbox.com),2024-07-29 03:53 UT,,,,,,,
2024-07-29_04-19-30_19.00_120.00s_0083.tif (dropbox.com),2024-07-29 04:19 UT,,,,,,,
2024-07-29_04-21-31_19.00_120.00s_0084.tif (dropbox.com),2024-07-29 04:21 UT,might be the same meteor as the previous one,,,,,,
2024-08-15_02-44-00_15.90_180.00s_0026.tif (dropbox.com),2024-08-15 02:44 UT,,,,,,,
2024-08-23_02-11-37_11.70_90.00s_0018.tif (dropbox.com),2024-08-23 02:11 UT,,,,,,,
2024-08-23_02-13-08_11.60_90.00s_0019.tif (dropbox.com),2024-08-23 02:13 UT,might be the same meteor as the previous one,,,,,,
2024-08-23_02-17-41_11.60_90.00s_0022.tif (dropbox.com),2024-08-23 02:17 UT,,,,,,,
2024-08-23_02-19-12_11.50_90.00s_0023.tif (dropbox.com),2024-08-23 02:19 UT,might be the same meteor as the previous one,,,,,,
2024-08-24_01-12-04_15.60_90.00s_0008.tif (dropbox.com),2024-08-24 01:12 UT,,Event 4619-2024,2024-08-24 01:15 UT,Partially match,"originally labled 4619, accidentally deleted",,
2024-08-24_01-15-07_15.50_90.00s_0010.tif (dropbox.com),2024-08-24 01:15 UT,Camera/AMS Match,Event 4619-2024,2024-08-24 01:15 UT,"AMS Match, but no device data",,,
2024-08-24_05-30-10_12.10_90.00s_0178.tif (dropbox.com),2024-08-24 05:30 UT,Might not be actual meteor,,,,,,
2024-08-25_01-01-42_19.80_90.00s_0000.tif (dropbox.com),2024-08-25 01:01 UT,,,,,,,
2024-08-25_01-22-58_17.70_90.00s_0014.tif (dropbox.com),2024-08-25 01:22 UT,,Event 4631-2024,2024-08-25 01:27 UT,Partially match,30 minutes off from AMS report,,no device data
2024-08-25_02-43-25_16.00_90.00s_0067.tif (dropbox.com),2024-08-25 02:43 UT,Is a plane,First Event in the file,20240825 02:43:22 UTC,,,,
2024-08-25_04-08-25_15.00_90.00s_0123.tif (dropbox.com),2024-08-25 04:08 UT,Might not be actual meteor,,,,,,